,FIPs,County,State,Zip_Code,Station
241,6113,Yolo County,CA,95616,KEDU
242,6115,Yuba County,CA,95977,KSMF
243,8001,Adams County,CO,80229,KBJC
244,8003,Alamosa County,CO,81101,KALS
245,8005,Arapahoe County,CO,80013,KBKF
246,8007,Archuleta County,CO,81137,KDRO
247,8009,Baca County,CO,81029,KLBL
248,8011,Bent County,CO,81057,KLAA
249,8013,Boulder County,CO,80533,KLMO
250,8014,Broomfield County,CO,80038,KDEN
251,8015,Chaffee County,CO,81236,KAEJ
252,8017,Cheyenne County,CO,80825,KITR
253,8019,Clear Creek County,CO,80439,KBJC
254,8021,Conejos County,CO,81120,KALS
255,8023,Costilla County,CO,81120,KALS
256,8025,Crowley County,CO,81039,KPUB
257,8027,Custer County,CO,81252,KALS
258,8029,Delta County,CO,81410,KAJZ
259,8031,Denver County,CO,80110,KAPA
260,8033,Dolores County,CO,81324,KMTJ
261,8035,Douglas County,CO,80104,KAPA
262,8037,Eagle County,CO,81645,KEGE
263,8039,Elbert County,CO,80832,KLIC
264,8041,El Paso County,CO,80903,KCOS
265,8043,Fremont County,CO,81240,KFCS
266,8045,Garfield County,CO,81641,KEEO
267,8047,Gilpin County,CO,80422,KBDU
268,8049,Grand County,CO,80446,KFNL
269,8051,Gunnison County,CO,81225,KASE
270,8053,Hinsdale County,CO,81235,KMTJ
271,8055,Huerfano County,CO,81040,KALS
272,8057,Jackson County,CO,80430,KHDN
273,8059,Jefferson County,CO,80439,KBJC
274,8061,Kiowa County,CO,81045,KLHX
275,8063,Kit Carson County,CO,80834,KITR
276,8065,Lake County,CO,80461,KLXV
277,8067,La Plata County,CO,81326,KDRO
278,8069,Larimer County,CO,80549,KFNL
279,8071,Las Animas County,CO,81039,KPUB
280,8073,Lincoln County,CO,81076,KLHX
281,8075,Logan County,CO,80741,KSTK
282,8077,Mesa County,CO,81523,KGJT
283,8079,Mineral County,CO,81154,KALS
284,8081,Moffat County,CO,81638,KHDN
285,8083,Montezuma County,CO,81335,KFMN
286,8085,Montrose County,CO,81402,KMTJ
287,8087,Morgan County,CO,80701,KFMM
288,8089,Otero County,CO,81039,KPUB
289,8091,Ouray County,CO,81432,KMTJ
290,8093,Park County,CO,80827,KCOS
291,8095,Phillips County,CO,80731,KHEQ
292,8097,Pitkin County,CO,81654,KASE
293,8099,Prowers County,CO,81052,KLAA
294,8101,Pueblo County,CO,81039,KPUB
295,8103,Rio Blanco County,CO,81638,KHDN
296,8105,Rio Grande County,CO,81135,KALS
297,8107,Routt County,CO,81638,KHDN
298,8109,Saguache County,CO,81155,KALS
299,8111,San Juan County,CO,81432,KMTJ
300,8113,San Miguel County,CO,81435,KTEX
